FID,FID_sweep_,ID,GRIDCODE,FID_Sweep1,FID_Swee_1,distance,FID_Swee_2,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,F_AREA
55,38,39,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,881.735604676999969
56,39,40,31,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,3438.713922439999806
57,40,41,24,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,881.730745813999988
58,41,42,23,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,10.774407660300000
59,41,42,23,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,870.961919887000022
60,42,43,61,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1763.493854390000024
61,43,44,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,5290.427723269999660
62,44,45,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1763.524069999999938
63,45,46,23,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,881.761528429000009
64,46,47,23,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,2940.338366810000025
65,46,47,23,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,586.667593345999990
66,47,48,61,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,881.756336302000022
67,48,49,24,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,2.553556943670000
68,48,49,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1760.991793590000043
69,49,50,24,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,881.774816801000043
70,50,51,152,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,881.768360144999974
71,51,52,37,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,173.954895584000013
72,51,52,37,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,707.828697334000026
73,52,53,121,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,658.209595383999954
74,53,54,24,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,2418.079046840000046
75,54,55,121,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,1337.691319130000011
76,54,55,121,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,425.889460697999993
77,55,56,24,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,3527.142362500000218
78,56,57,121,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,881.789477915000020
79,57,58,121,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,881.788464979999958
80,58,59,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,881.787452409000025
81,59,60,121,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,610.718992896000032
82,59,60,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,271.067448086000013
83,60,61,31,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,107302.306689000004553
84,60,61,31,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,17963.953133499999240
85,60,61,31,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,72488.906426400004420
86,60,61,31,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,111915.261891999994987
87,60,61,31,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,126599.422565000000759
88,61,62,23,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,881.785632143000043
89,62,63,152,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,1763.559805300000107
90,63,64,23,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,881.775957783999957
91,64,65,121,26,-1,0.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,4000.000000000000000,3500.000000000000000,881.796405860000050
92,65,66,121,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,1068.405336799999986
93,65,66,121,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1576.978358410000055
94,66,67,121,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,1763.586934890000066
95,67,68,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,1763.584910629999968
96,68,69,121,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,881.791545165000002
97,69,70,121,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,881.790534377999961
98,70,71,121,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,963.839725167999973
99,70,71,121,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,799.739153962000046
100,71,72,121,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,1763.576827710000089
101,72,73,121,57,0,-3500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,500.000000000000000,0.000000000000000,2645.362517730000036
102,73,74,121,57,0,-3500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,500.000000000000000,0.000000000000000,2645.359493120000025
103,74,75,121,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,13016.204392899999220
104,74,75,121,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,5812.574162740000247
105,74,75,121,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,4950.391267570000309
106,74,75,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,28.036925408799998
107,75,76,121,88,1,-3000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1000.000000000000000,500.000000000000000,647.489682166999955
108,75,76,121,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,234.294846353999986
109,76,77,121,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,881.783678150000014
110,77,78,121,119,2,-2500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,1500.000000000000000,1000.000000000000000,877.544016794999948
111,77,78,121,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,4.239268166900000
112,78,79,121,150,3,-2000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2000.000000000000000,1500.000000000000000,2645.347413770000003
113,79,80,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,1763.561479559999952
114,80,81,121,181,4,-1500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,2500.000000000000000,2000.000000000000000,511.795307701000013
115,80,81,121,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,2133.545854890000101
116,81,82,121,212,5,-1000.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3000.000000000000000,2500.000000000000000,1633.825847639999893
117,81,82,121,243,6,-500.000000000000000,28,2014_59,59.000000000000000,20.233333333299999,47.975700000000003,-119.563216699999998,4000.000000000000000,28,3500.000000000000000,3000.000000000000000,1011.512716899999987
