FID,FID_Sweep1,FID_Swee_1,distance,FID_Buffer,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,FID_sweep_,ID,GRIDCODE,F_AREA
0,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1736,1737,23,1337.494756820000021
1,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1741,1742,23,645.031053714999985
2,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1745,1746,23,451.109384620000014
3,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1746,1747,23,12993.914600000000064
4,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1748,1749,122,861.329411983000000
5,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1749,1750,23,737.547820290999994
6,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1753,1754,176,900.549084275000041
7,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1754,1755,121,1801.092727749999995
8,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1758,1759,121,900.554470351999953
9,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1759,1760,21,1801.108830870000020
10,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1762,1763,122,900.559819925000056
11,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1764,1765,23,54179.141118799998367
12,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1767,1768,176,172.045513792999998
13,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1772,1773,121,1559.659589269999969
14,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1778,1779,24,92821.345685299995239
15,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1781,1782,121,602.248503153000001
16,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1782,1783,121,885.577027728999951
17,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1808,1809,42,30882.812626200000523
18,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1815,1816,176,900.624090475999992
19,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1818,1819,61,73393.612933700002031
20,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1820,1821,42,861.355720699000017
21,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1823,1824,37,1801.277698090000058
22,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1832,1833,36,2698.411636469999848
23,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1833,1834,176,900.643574205000050
24,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1834,1835,24,119885.604152999992948
25,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1844,1845,24,50720.391015000001062
26,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1849,1850,21,1801.308653640000102
27,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1852,1853,176,1744.141774120000036
28,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1853,1854,42,244.177582061999999
29,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1857,1858,21,900.656333162999999
30,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1858,1859,21,1940.630836230000114
31,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1859,1860,176,779.056468921000032
32,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1862,1863,21,1801.323329580000063
33,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1863,1864,53,792.188377241000012
34,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1871,1872,24,18184.753931899998861
35,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1883,1884,21,2221.321878969999943
36,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1889,1890,23,25625.843856399998913
37,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1891,1892,42,3284.491677540000182
38,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1915,1916,23,2849.189720469999884
39,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1927,1928,21,1121.654680319999898
40,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1952,1953,23,66375.352386400001706
41,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1953,1954,21,2027.239514939999935
42,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1965,1966,42,61766.435492399999930
43,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1967,1968,23,501.998399489000008
44,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1968,1969,21,997.784088592999979
45,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1973,1974,53,799.438897819999966
46,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1974,1975,21,4503.715705829999933
47,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1975,1976,42,11225.070408199999292
48,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1992,1993,21,14921.968922100000782
49,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1998,1999,176,15996.168735699999161
50,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2029,2030,23,900.769752950999987
51,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2035,2036,24,9173.561925320000228
52,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2038,2039,42,32495.425129399998696
53,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2039,2040,23,740.272634860000039
54,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2048,2049,21,7256.988980609999999
55,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2053,2054,121,2459.652552560000004
56,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2054,2055,121,2695.568809240000064
57,0,-1,0.000000000000000,0,2012_1,1.000000000000000,20.199999999999999,46.793900000000001,-117.444266700000000,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,2064,2065,23,1360.544857229999934
