FID,FID_Sweep1,FID_Swee_1,distance,FID_Swee_2,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,FID_sweep_,ID,GRIDCODE,F_AREA
0,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1462,1463,23,2345.746363000000201
1,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1463,1464,62,779.522427428000015
2,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1464,1465,24,84.318132236300002
3,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1466,1467,23,2983.010495919999812
4,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1467,1468,21,2097.312009750000016
5,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1470,1471,42,388.863127092000013
6,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1471,1472,53,4135.868913029999931
7,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1472,1473,52,2710.341885530000127
8,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1475,1476,24,2391.387736810000206
9,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1476,1477,24,2575.991241589999845
10,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1480,1481,121,5589.650904430000082
11,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1481,1482,24,4022.135686579999856
12,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1482,1483,24,103073.295024999999441
13,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1489,1490,62,584.401069149000023
14,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1490,1491,52,729.552934903000050
15,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1492,1493,23,89379.369214499994996
16,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1494,1495,42,86886.524669899998116
17,0,-1,0.000000000000000,0,2011_2,2.000000000000000,20.183333333299998,46.794133330000001,-117.444416700000005,4000.000000000000000,0,4000.000000000000000,3500.000000000000000,1497,1498,121,1041.321501249999983
